street address,town,zip,road side,private side
2204 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2209 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2217 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2220 ALTON STREET,Niskayuna,12309,Unknown,Copper
2225 ALTON STREET,Niskayuna,12309,Unknown,Copper
2303 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2305 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2315 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2319 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2323 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2331 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2343 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2347 ALTON STREET,Niskayuna,12309,Unknown,Unknown
2353 ALTON STREET,Niskayuna,12309,Unknown,Unknown
10 ALVA ROAD,Niskayuna,12309,Copper,Copper
17 ALVA ROAD,Niskayuna,12309,Copper,Copper
18 ALVA ROAD,Niskayuna,12309,Copper,Copper
21 ALVA ROAD,Niskayuna,12309,Copper,Copper
25 ALVA ROAD,Niskayuna,12309,Copper,Copper
26 ALVA ROAD,Niskayuna,12309,Copper,Copper
29 ALVA ROAD,Niskayuna,12309,Copper,Copper
30 ALVA ROAD,Niskayuna,12309,Copper,Copper
34 ALVA ROAD,Niskayuna,12309,Copper,Copper
37 ALVA ROAD,Niskayuna,12309,Copper,Copper
38 ALVA ROAD,Niskayuna,12309,Copper,Copper
45 ALVA ROAD,Niskayuna,12309,Copper,Copper
49 ALVA ROAD,Niskayuna,12309,Copper,Copper
50 ALVA ROAD,Niskayuna,12309,Copper,Copper
7 ALVINO WAY,Niskayuna,12309,Plastic,Plastic
8 ALVINO WAY,Niskayuna,12309,Plastic,Plastic
9 ALVINO WAY,Niskayuna,12309,Plastic,Plastic
25 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
33 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
38 AMHERST AVE NO,Niskayuna,12304,Unknown,Copper
41 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
42 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
45 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
46 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
49 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
53 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
54 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
62 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
65 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
121 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
125 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
128 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
129 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
201 AMHERST AVE NO,Niskayuna,12304,Known Other,Known Other
241 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
257 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
23 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
58 AMHERST AVE NO,Niskayuna,12304,Unknown,Unknown
25 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
30 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
34 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
38 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
42 AMHERST AVE SO,Niskayuna,12304,Known Other,Known Other
45 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
46 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
50 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
54 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
28 AMHERST AVE SO,Niskayuna,12304,Unknown,Unknown
2485 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2486 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2489 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2490 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2493 ANGELINA DRIVE,Niskayuna,12309,Copper,Plastic
2494 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2497 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2498 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2501 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2502 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2505 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2506 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2509 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2510 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2513 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2514 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2518 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2521 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2522 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2525 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2526 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2529 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
2530 ANGELINA DRIVE,Niskayuna,12309,Copper,Copper
391 ANTHONY STREET,Niskayuna,12309,Unknown,Unknown
398 ANTHONY STREET,Niskayuna,12309,Unknown,Unknown
399 ANTHONY STREET,Niskayuna,12309,Unknown,Unknown
4 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
8 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2484 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2488 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2489 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2492 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2493 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2496 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2497 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2501 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2504 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2505 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2508 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2509 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2512 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2513 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2516 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2517 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2520 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2521 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2525 ANTONIA DRIVE,Niskayuna,12309,Copper,Copper
2138 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2142 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2146 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2157 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2161 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2165 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2168 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2169 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2170 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2172 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2173 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2174 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2176 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2177 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2178 APPLE TREE LANE,Niskayuna,12309,Copper,Copper
2557 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2576 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2580 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2590 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2593 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2594 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2596 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Copper
2603 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
